map_row_id,report_name,report_type,report_section,report_field,metric_code,kpi_id,service_event,service_definition,system_workflow_capture,source_system,source_table,source_field,source_grain,staging_table,warehouse_fact_or_dimension,fact_grain,transformation_rule,inclusion_rule,exclusion_rule,validation_check,reconciliation_check,migration_risk,reporting_confidence,sign_off_owner,sign_off_status,management_decision_supported,local_performance_use,national_or_local_use,related_output_file,notes
STR-011,Local demand and access performance pack,Local,Weekly pack,Backlog stock,DRH-BACKLOG,,Service demand and capacity signal,Local operational definition — may differ from national stock measures,Rolled from fact_mh_referral_episode + demand_capacity_weekly,PathwayOne + RosterFlow,fact_mh_referral_episode,multiple,episode/week,stg_episode,fact_mh_referral_episode,episode,Open waiting episodes,local_reporting_inclusion_flag=1,National exclusions may still count locally,Weekly DQ,Separate from MHS23 stock,Medium,High,Service manager,Prototype,Team capacity allocation,Capacity meetings,Local,local_demand_access_pack_metrics.csv,
STR-012,Local demand and access performance pack,Local,Weekly pack,Referrals in week,DRH-REF-WK,,Service demand and capacity signal,Local operational definition — may differ from national stock measures,Rolled from fact_mh_referral_episode + demand_capacity_weekly,PathwayOne + RosterFlow,fact_mh_referral_episode,multiple,episode/week,stg_episode,fact_mh_referral_episode,episode,OPT-C referrals in ISO week,local_reporting_inclusion_flag=1,National exclusions may still count locally,Weekly DQ,Separate from MHS23 stock,Medium,High,Service manager,Prototype,Team capacity allocation,Capacity meetings,Local,local_demand_access_pack_metrics.csv,
STR-013,Local demand and access performance pack,Local,Weekly pack,DNA rate,DRH-DNA,,Service demand and capacity signal,Local operational definition — may differ from national stock measures,Rolled from fact_mh_referral_episode + demand_capacity_weekly,PathwayOne + RosterFlow,fact_mh_referral_episode,multiple,episode/week,stg_episode,fact_mh_referral_episode,episode,DNA / scheduled contacts,local_reporting_inclusion_flag=1,National exclusions may still count locally,Weekly DQ,Separate from MHS23 stock,Medium,High,Service manager,Prototype,Team capacity allocation,Capacity meetings,Local,local_demand_access_pack_metrics.csv,
STR-014,Local demand and access performance pack,Local,Weekly pack,Demand by team,DRH-DEM-TEAM,,Service demand and capacity signal,Local operational definition — may differ from national stock measures,Rolled from fact_mh_referral_episode + demand_capacity_weekly,PathwayOne + RosterFlow,fact_mh_referral_episode,multiple,episode/week,stg_episode,fact_mh_referral_episode,episode,Episodes grouped by responsible_team_code,local_reporting_inclusion_flag=1,National exclusions may still count locally,Weekly DQ,Separate from MHS23 stock,Medium,High,Service manager,Prototype,Team capacity allocation,Capacity meetings,Local,local_demand_access_pack_metrics.csv,
STR-015,Local demand and access performance pack,Local,Weekly pack,Median wait to first contact,DRH-WAIT-MED,,Service demand and capacity signal,Local operational definition — may differ from national stock measures,Rolled from fact_mh_referral_episode + demand_capacity_weekly,PathwayOne + RosterFlow,fact_mh_referral_episode,multiple,episode/week,stg_episode,fact_mh_referral_episode,episode,Median first_contact_wait_days,local_reporting_inclusion_flag=1,National exclusions may still count locally,Weekly DQ,Separate from MHS23 stock,Medium,High,Service manager,Prototype,Team capacity allocation,Capacity meetings,Local,local_demand_access_pack_metrics.csv,
STR-016,Waiting list and pathway risk report,Local,Waiting stock,ACCESS_WAITING count,KPI-03,KPI-03,Patient waiting for first contact,Open ACCESS_WAITING at month end,ACCESS_WAITING action,PathwayOne,pathwayone_actions,ACCESS_WAITING,action,stg_action,fact_mh_referral_episode,episode,Count waiting episodes,Exclude INVALID_TEAM,INVALID_TEAM,VAL-02,Old case Waiting compare,Medium,Medium,Service manager,Draft,Waiting list review,Prioritisation,Local,demand_capacity_weekly.csv,
STR-017,Waiting list and pathway risk report,Local,Access gap,First contact wait days,DRH-WAIT-DAYS,,Days from referral to first clinical contact,Median/mean wait — clock start at referral received,first_contact_wait_days on episode,PathwayOne,fact_mh_referral_episode,first_contact_wait_days,episode,stg_episode,fact_mh_referral_episode,episode,Datediff referral to first contact,Episodes with contact,Still waiting,DEC-03 clock start,DRH-FC14 numerator,Medium,Medium,Service manager,Agreed,Capacity allocation,Escalation by team,Local,demand_capacity_weekly.csv,
STR-018,Waiting list and pathway risk report,Local,Risk flag,Long wait episodes,DRH-WAIT-RISK,,Patient waiting beyond threshold,Episodes with wait &gt;28 days without contact,episode_status=Waiting + wait days,PathwayOne,fact_mh_referral_episode,episode_status,episode,stg_episode,fact_mh_referral_episode,episode,Filter waiting beyond SLA,local_reporting_inclusion_flag=1,INVALID_TEAM,Weekly refresh,Not MHS23 stock,Low,High,Clinical lead,Draft,Risk review meeting,Clinical prioritisation,Local,demand_capacity_weekly.csv,
STR-019,Senior performance brief,Local,Headline,Referrals Mar 2026,KPI-01,KPI-01,Referral received,Agreed OPT-C,fact_mh_referral_episode,Both,fact_mh_referral_episode,reporting_month,episode,stg_episode,fact_mh_referral_episode,episode,134 agreed / 154 dashboard,OPT-C,Dashboard excluded from narrative,VAL-03,reconciliation_detail_mar2026,High,Low,Directorate lead,Withheld,Do not publish dashboard figure,Board narrative,Local,senior_brief_sections.csv,
STR-020,Senior performance brief,Local,Headline,Backlog W21,DRH-BACKLOG,,Open waiting stock,Local backlog — not MHS23 national stock,fact_mh_referral_episode waiting episodes,PathwayOne,fact_mh_referral_episode,episode_status,episode,stg_episode,fact_mh_referral_episode,episode,Count Waiting at week end,local_reporting_inclusion_flag=1,National exclusions,Weekly DQ,demand_capacity_weekly,Low,Medium,Performance lead,Medium confidence,Agency and WTE review,Capacity meetings,Local,senior_brief_sections.csv,
STR-021,Data quality and reporting confidence report,Assurance,Product register,MHSDS-like confidence tier,CONF-MH,,Reporting assurance,Confidence model tier,reporting_confidence_register,n/a,reporting_confidence_register,confidence_level,report,n/a,n/a,n/a,Rules during migration phase D,n/a,n/a,All VAL-MH checks,mhsds_like_reconciliation_summary,Low,High,Performance lead,Active,Escalation before publish,Publish gate,Assurance,reporting_confidence_register.csv,
STR-022,Data quality and reporting confidence report,Assurance,Product register,Local demand pack confidence,CONF-LOC,,Local product assurance,Local pack can be High when national still Medium,local_reporting_inclusion_flag rules,n/a,fact_mh_referral_episode,local_reporting_inclusion_flag,episode,n/a,fact_mh_referral_episode,episode,Separate inclusion from mandatory,Documented per team,PC Liaison national,DEC-04,local_demand_access_pack_metrics,Medium,High,Service manager,Prototype High,Capacity decisions,Weekly meetings,Assurance,reporting_confidence_register.csv,
STR-023,CSDS-like monthly submission,Mandatory,Activity return,Clinical contacts,CSDS-ACT,,Community activity contact,Clinical contacts — KPI-05,CARE_* actions,PathwayOne,pathwayone_actions,CARE_ONGOING,action,stg_action,fact_mh_referral_episode,episode,Sum clinical_contact_count,Exclude admin,ADMIN_CANCEL,VAL-05,MHS29 alignment,High,Medium,CSDS owner,Pending,Mandatory submission,Productivity,Both,mandatory_mhsds_like_monthly.csv,
STR-024,CSDS-like monthly submission,Mandatory,Activity return,Admin contacts excluded,CSDS-ADM-EX,,Admin action recorded as contact,ADMIN_CANCEL and non-clinical actions excluded,ActionType filter,PathwayOne,pathwayone_actions,ADMIN_CANCEL,action,stg_action,fact_mh_referral_episode,episode,Exclude from clinical_contact_count,Clinical only,ADMIN_CANCEL,VAL-05; DRH-PAT-003201,MHS29 alignment,High,Medium,CSDS owner,Pending,Mandatory submission quality,Productivity accuracy,Both,mandatory_mhsds_like_monthly.csv,
STR-025,Source impact analysis,Source impact,Source dependency,legendary_cmht_cases.ReferralDate,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",ReferralDate,Legendary Care or PathwayOne,legendary_cmht_cases,ReferralDate,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,MHSDS-like monthly submission; Senior performance brief; Local demand and access performance pack,Both,source_to_report_map.csv,Affected reports: MHSDS-like monthly submission; Senior performance brief; Local demand and access performance pack
STR-026,Source impact analysis,Source impact,Source dependency,legendary_cmht_cases.PathwayStatus Rejected,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",PathwayStatus Rejected,Legendary Care or PathwayOne,legendary_cmht_cases,PathwayStatus Rejected,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,MHSDS-like monthly submission; Local demand and access performance pack,Both,source_to_report_map.csv,Affected reports: MHSDS-like monthly submission; Local demand and access performance pack
STR-027,Source impact analysis,Source impact,Source dependency,pathwayone_actions.ACCESS_ACCEPTED,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",ACCESS_ACCEPTED,Legendary Care or PathwayOne,pathwayone_actions,ACCESS_ACCEPTED,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,MHSDS-like monthly submission; Local demand and access performance pack; Senior performance brief,Both,source_to_report_map.csv,Affected reports: MHSDS-like monthly submission; Local demand and access performance pack; Senior performance brief
STR-028,Source impact analysis,Source impact,Source dependency,pathwayone_actions.ACCESS_REJECTED,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",ACCESS_REJECTED,Legendary Care or PathwayOne,pathwayone_actions,ACCESS_REJECTED,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,MHSDS-like monthly submission; Waiting list and pathway risk report,Both,source_to_report_map.csv,Affected reports: MHSDS-like monthly submission; Waiting list and pathway risk report
STR-029,Source impact analysis,Source impact,Source dependency,pathwayone_actions.CARE_FIRST_CONTACT,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",CARE_FIRST_CONTACT,Legendary Care or PathwayOne,pathwayone_actions,CARE_FIRST_CONTACT,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,Waiting list and pathway risk report; MHSDS-like monthly submission,Both,source_to_report_map.csv,Affected reports: Waiting list and pathway risk report; MHSDS-like monthly submission
STR-030,Source impact analysis,Source impact,Source dependency,pathwayone_actions.ADMIN_CANCEL,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",ADMIN_CANCEL,Legendary Care or PathwayOne,pathwayone_actions,ADMIN_CANCEL,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,CSDS-like monthly submission; MHSDS-like monthly submission,Both,source_to_report_map.csv,Affected reports: CSDS-like monthly submission; MHSDS-like monthly submission
STR-031,Source impact analysis,Source impact,Source dependency,pathwayone_actions.TeamCode INVALID_TEAM,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",TeamCode INVALID_TEAM,Legendary Care or PathwayOne,pathwayone_actions,TeamCode INVALID_TEAM,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,Local demand and access performance pack; Waiting list and pathway risk report; Data quality and reporting confidence report,Both,source_to_report_map.csv,Affected reports: Local demand and access performance pack; Waiting list and pathway risk report; Data quality and reporting confidence report
STR-032,Source impact analysis,Source impact,Source dependency,fact_mh_referral_episode.mhsds_like_inclusion_flag,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",mhsds_like_inclusion_flag,Legendary Care or PathwayOne,fact_mh_referral_episode,mhsds_like_inclusion_flag,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,MHSDS-like monthly submission,Both,source_to_report_map.csv,Affected reports: MHSDS-like monthly submission
STR-033,Source impact analysis,Source impact,Source dependency,fact_mh_referral_episode.local_reporting_inclusion_flag,SRC,,Source change impact analysis,"When this source field changes, these reports are affected",local_reporting_inclusion_flag,Legendary Care or PathwayOne,fact_mh_referral_episode,local_reporting_inclusion_flag,row,stg_*,fact_mh_referral_episode,episode,Lineage dependency,n/a,n/a,Impact assessment,n/a,High,Review,BI lead,Documented,Change impact assessment,Local demand and access performance pack; Waiting list and pathway risk report,Both,source_to_report_map.csv,Affected reports: Local demand and access performance pack; Waiting list and pathway risk report
